subject_id,slice_idx,type,n_features,mse,rmse,variance_explained,n_components,tumor_percentage
BraTS20_Training_001,67,original,4,4.127616235103237e-33,6.424652702756186e-17,0.9999999999999999,4,
BraTS20_Training_002,53,original,4,1.5821137185576626e-32,1.257821020081022e-16,0.9999999999999999,4,
BraTS20_Training_003,94,original,4,1.1531657886086441e-32,1.0738555715777817e-16,1.0,4,
BraTS20_Training_004,86,original,4,4.6025956618012653e-32,2.1453660903913964e-16,1.0,4,
BraTS20_Training_005,95,original,4,1.2919639511941962e-31,3.5943900055422425e-16,1.0000000000000002,4,
BraTS20_Training_006,91,original,4,2.1836468164536564e-32,1.4777167578577621e-16,0.9999999999999998,4,
BraTS20_Training_007,61,original,4,3.952024565662512e-33,6.286512996616258e-17,0.9999999999999999,4,
BraTS20_Training_008,42,original,4,8.814480229157575e-33,9.388546335379921e-17,0.9999999999999999,4,
BraTS20_Training_009,66,original,4,6.076739758119738e-33,7.795344609521595e-17,1.0,4,
BraTS20_Training_010,88,original,4,5.227103733764523e-32,2.286286013114834e-16,0.9999999999999999,4,
BraTS20_Training_011,84,original,4,2.3713206772800044e-32,1.539909308134737e-16,0.9999999999999999,4,
BraTS20_Training_012,67,original,4,1.9244815663901179e-32,1.3872568494659227e-16,0.9999999999999999,4,
BraTS20_Training_013,83,original,4,1.6520468714068866e-32,1.2853197545384909e-16,0.9999999999999999,4,
BraTS20_Training_014,56,original,4,1.1353357074406949e-32,1.065521331293135e-16,1.0000000000000002,4,
BraTS20_Training_015,82,original,4,3.320854767705632e-33,5.76268580412435e-17,0.9999999999999999,4,
BraTS20_Training_016,93,original,4,1.1087877840088553e-32,1.0529899258819408e-16,1.0,4,
BraTS20_Training_017,79,original,4,5.325590350671409e-32,2.307724062939807e-16,1.0000000000000002,4,
BraTS20_Training_018,83,original,4,5.710188958735851e-33,7.556579225241968e-17,1.0,4,
BraTS20_Training_019,57,original,4,2.0344261938098028e-32,1.4263331286238158e-16,0.9999999999999999,4,
BraTS20_Training_020,59,original,4,7.897229971046468e-33,8.886636017665215e-17,1.0,4,
BraTS20_Training_021,104,original,4,5.4143817840463016e-33,7.358248286138693e-17,1.0,4,
BraTS20_Training_022,100,original,4,2.2280383872378322e-32,1.492661511273682e-16,1.0,4,
BraTS20_Training_023,92,original,4,2.0279981867865865e-32,1.4240780128864381e-16,1.0,4,
BraTS20_Training_024,98,original,4,7.592692060960789e-32,2.7554839975874997e-16,0.9999999999999999,4,
BraTS20_Training_025,101,original,4,2.943493616319223e-32,1.7156612766858214e-16,1.0000000000000002,4,
BraTS20_Training_026,63,original,4,2.5421838640371477e-32,1.5944227369293086e-16,0.9999999999999999,4,
BraTS20_Training_027,69,original,4,2.755601275873065e-32,1.6600003842990714e-16,0.9999999999999999,4,
BraTS20_Training_028,49,original,4,3.5097815908533394e-32,1.873441109523686e-16,1.0,4,
BraTS20_Training_029,72,original,4,1.0012674538327543e-32,1.0006335262386296e-16,1.0,4,
BraTS20_Training_030,93,original,4,1.0396193716214984e-32,1.0196172672240788e-16,1.0,4,
BraTS20_Training_031,98,original,4,5.042984281210967e-32,2.245658985957344e-16,1.0,4,
BraTS20_Training_032,126,original,4,1.0542339127271336e-32,1.0267589360347119e-16,1.0,4,
BraTS20_Training_033,91,original,4,2.7386303380570875e-32,1.654880762489276e-16,1.0,4,
BraTS20_Training_034,109,original,4,1.3255112585638074e-32,1.151308498432895e-16,1.0,4,
BraTS20_Training_035,53,original,4,6.628448493031312e-33,8.141528414880901e-17,1.0000000000000002,4,
BraTS20_Training_036,84,original,4,6.855911595644641e-32,2.618379574401817e-16,1.0000000000000002,4,
BraTS20_Training_037,66,original,4,1.5723369490239337e-32,1.2539286060314333e-16,1.0000000000000002,4,
BraTS20_Training_038,90,original,4,1.455173531511204e-32,1.206305737162517e-16,1.0,4,
BraTS20_Training_039,90,original,4,3.612217828289739e-32,1.90058354941048e-16,0.9999999999999999,4,
